timestamp,proba_long,proba_short,confidence_ratio,decision,base_prob_threshold,base_ratio_threshold,ict_mode,cooldown_blocked,cooldown_remaining_minutes
2025-11-02 20:45:00,0.04532894643560835,0.15878638229620243,3.5029797686069117,HOLD,0.5004,1.5,False,,
2025-11-02 21:00:00,0.042384202251602436,0.18919601097629876,4.463833242706503,HOLD,0.5004,1.5,False,,
2025-11-02 21:15:00,0.03409525402243922,0.19653978461623403,5.764432330871759,HOLD,0.5004,1.5,False,,
2025-11-02 21:30:00,0.02558506384043857,0.24331970120279117,9.510224509122049,HOLD,0.5004,1.5,False,,
2025-11-02 21:45:00,0.017112561410638428,0.34082419502591876,19.916609024645332,HOLD,0.5004,1.5,False,,
2025-11-02 22:00:00,0.016793890510774886,0.31137180259986896,18.54077840986841,HOLD,0.5004,1.5,False,,
2025-11-02 22:15:00,0.019063522247007164,0.2553764147820945,13.396077150547914,HOLD,0.5004,1.5,False,,
2025-11-02 22:30:00,0.019314845447413603,0.29939869601962554,15.500962554153762,HOLD,0.5004,1.5,False,,
2025-11-02 22:45:00,0.04818860232086123,0.27149678569393665,5.634045658477286,HOLD,0.5004,1.5,False,,
2025-11-02 23:00:00,0.02610889399008198,0.2860116333322821,10.954567184689237,HOLD,0.5004,1.5,False,,
2025-11-02 23:15:00,0.012452466712708249,0.43349629631995545,34.81208232241688,HOLD,0.5004,1.5,False,,
2025-11-02 23:30:00,0.012586561297772638,0.4677045196041582,37.15903879854181,HOLD,0.5004,1.5,False,,
2025-11-02 23:45:00,0.01012861536535819,0.47751225910071,47.14487043647581,HOLD,0.5004,1.5,False,,
2025-11-03 00:00:00,0.00784495300288052,0.5484953002873251,69.91696445930623,SHORT,0.5004,1.5,False,,
2025-11-03 02:30:00,0.8961330194754188,0.03359787511917664,26.672312350013275,LONG,0.5004,1.5,False,True,30.0
2025-11-03 02:45:00,0.8965689773841587,0.03460965207402284,25.90517164017091,LONG,0.5004,1.5,False,True,15.0
2025-11-03 03:00:00,0.9097197371309256,0.03614606578307843,25.167876985295745,LONG,0.5004,1.5,False,,
2025-11-03 03:45:00,0.967505740109064,0.06602032107999717,14.654665779900286,LONG,0.5004,1.5,False,True,30.0
2025-11-03 04:00:00,0.9696433298079592,0.07346180349029209,13.199285666000518,LONG,0.5004,1.5,False,True,15.0
2025-11-03 04:15:00,0.39434954748473017,0.26316454705561176,1.4984904003858714,HOLD,0.5004,1.5,False,,
2025-11-03 04:30:00,0.3125153495674143,0.26674861259283233,1.1715725398896104,HOLD,0.5004,1.5,False,,
2025-11-03 04:45:00,0.3241787593763932,0.2633627215568022,1.230921208058955,HOLD,0.5004,1.5,False,,
