feature,avg_profitable,avg_unprofitable,difference,difference_pct,std_profitable,std_unprofitable,n_profitable,n_unprofitable,abs_diff_pct
mfi_slope_12h,-0.5493848915813747,-5.382814456643091,-4.833429565061716,879.7893133080072,10.489481358418212,4.484141449530853,14,7,879.7893133080072
cumulative_delta,733333.1041262132,6851384.826278772,6118051.722152559,834.2800410520656,7492980.239212657,14716736.61368663,22,11,834.2800410520656
dist_from_vwap,-0.00266155612468222,0.012354099793663415,0.015015655918345635,-564.1682991050376,0.02719067824764463,0.0282916784594639,29,10,564.1682991050376
dist_from_sma_20,0.003241640671630118,0.0179286617256998,0.014687021054069683,453.0736914367516,0.023315784659314345,0.02784703475655501,22,8,453.0736914367516
mfi_slope_2h,-3.412111045016285,6.123469173880636,9.535580218896921,-279.4627751879456,11.392169273437553,4.230388071823303,7,4,279.4627751879456
volume_delta_negative,263072.0,-445616.0,-708688.0,-269.3893686899404,263072.0,0.0,2,1,269.3893686899404
ad_line,-0.4256514567725913,0.6301934387123957,1.055844895484987,-248.05386629960088,1.010071029288233,2.9177773921353554,9,4,248.05386629960088
resistance_touch_count,4.458333333333333,14.333333333333334,9.875,221.49532710280377,7.761975514576743,11.527744310527055,24,9,221.49532710280377
roc_5_atr_norm_4h,-0.8043032558154429,0.957512290131643,1.761815545947086,-219.04866519045342,0.9259655005530057,0.0,6,1,219.04866519045342
rsi_slope_2h,1.602453239856124,-1.527843450228198,-3.1302966900843217,-195.34402703478418,9.266125727072042,11.62502003628799,27,13,195.34402703478418
rsi_price_divergence_cont_1h,0.049523228107992784,-0.044742184821554266,-0.09426541292954704,-190.34585694613293,0.2185191217017873,0.08628797771996582,9,3,190.34585694613293
roc_5_atr_norm_1h,0.7911858643020243,-0.6809847260817465,-1.472170590383771,-186.0713969760448,0.0933546649980398,0.1860058870272612,2,2,186.0713969760448
vwap_distance_weighted,0.0012743814431897121,0.003622951782103114,0.002348570338913402,184.29100262438297,0.01689595764670223,0.04406981382249868,9,2,184.29100262438297
buy_sell_imbalance_20,0.2881527982510425,-0.23071492353539222,-0.5188677217864347,-180.06686901384532,0.2940708990581518,0.37571842922133136,5,3,180.06686901384532
dist_from_sma_20_1h,0.0006021517304697493,0.0016732045233587628,0.0010710527928890134,177.87091503556186,0.038984011580410725,0.012624524420329481,8,2,177.87091503556186
rsi_price_divergence_cont_12h,-0.041160240326155416,0.0307284075258501,0.07188864785200552,-174.65555905980372,0.23749117132011568,0.16494471595521668,31,12,174.65555905980372
hidden_divergence,-0.10344827586206896,-0.2727272727272727,-0.16927899686520376,163.63636363636363,0.4021346134376069,0.4453617714151233,29,11,163.63636363636363
dist_from_sma_50_2h,-0.012463197677841601,-0.03203818856692402,-0.019574990889082416,157.06234784259996,0.059346534051206254,0.04573039237743628,7,4,157.06234784259996
resistance_bounce_ratio,0.2222222222222222,0.5676691729323309,0.34544695071010867,155.4511278195489,0.31426968052735443,0.14661654135338348,3,2,155.4511278195489
rsi_slope_1h,1.3398337825428872,3.374749018660291,2.0349152361174037,151.87818538619865,7.973857696724698,9.07752070019633,23,6,151.87818538619865
rsi_price_divergence_cont_2h,0.03205255543510402,0.0794250809730713,0.04737252553796728,147.79640778995363,0.13433575201734735,0.20174898788781465,12,5,147.79640778995363
roc_10_atr_norm_2h,1.1017230652172125,-0.5190219028702509,-1.6207449680874633,-147.11001514413442,1.8940683097924453,0.5382220029495636,6,3,147.11001514413442
