timestamp,proba_long,proba_short,proba_diff,decision,base_prob_threshold,base_diff_threshold,ict_mode,cooldown_blocked,cooldown_remaining_minutes
2025-08-10 22:45:00,0.5725403559700474,0.050659993019481125,0.5218803629505663,HOLD,0.7,0.3,False,,
2025-08-10 23:00:00,0.5455395396395838,0.1058193025689841,0.4397202370705997,HOLD,0.7,0.3,False,,
2025-08-10 23:15:00,0.5277500082634852,0.06741540805875722,0.46033460020472794,HOLD,0.7,0.3,False,,
2025-08-10 23:30:00,0.4954927929751358,0.08090759619303457,0.41458519678210126,HOLD,0.7,0.3,False,,
2025-08-10 23:45:00,0.4610201484380019,0.11429935719287601,0.3467207912451259,HOLD,0.7,0.3,False,,
2025-08-11 00:00:00,0.414186469614974,0.13556800580556566,0.27861846380940836,HOLD,0.7,0.3,False,,
2025-08-11 00:15:00,0.6334465640933901,0.1044149853595085,0.5290315787338815,HOLD,0.7,0.3,False,,
2025-08-11 00:30:00,0.5170480454035624,0.19178334959282128,0.32526469581074113,HOLD,0.7,0.3,False,,
2025-08-11 00:45:00,0.5205369611161929,0.1369561060285963,0.38358085508759654,HOLD,0.7,0.3,False,,
2025-08-11 01:00:00,0.5586397256984703,0.10779699922871788,0.45084272646975243,HOLD,0.7,0.3,False,,
2025-08-11 01:15:00,0.4570251248010233,0.24507716392188086,0.21194796087914244,HOLD,0.7,0.3,False,,
2025-08-11 01:30:00,0.39275216999903917,0.32251715009437765,0.07023501990466152,HOLD,0.7,0.3,False,,
2025-08-11 01:45:00,0.34018235566849087,0.4655011226795762,0.12531876701108535,HOLD,0.7,0.3,False,,
2025-08-11 02:00:00,0.3253811524701393,0.3618957525960572,0.036514600125917895,HOLD,0.7,0.3,False,,
2025-08-11 02:15:00,0.3109948431728808,0.6043319746178041,0.2933371314449233,HOLD,0.7,0.3,False,,
2025-08-11 02:30:00,0.3062257451980146,0.5456799305315817,0.2394541853335671,HOLD,0.7,0.3,False,,
2025-08-11 02:45:00,0.2872100644286061,0.6648149060012567,0.3776048415726506,HOLD,0.7,0.3,False,,
