timestamp,proba_long,proba_short,confidence_ratio,decision,base_prob_threshold,base_ratio_threshold,ict_mode,cooldown_blocked,cooldown_remaining_minutes
2025-10-08 08:30:00,0.08531119748363973,0.10297048471257528,1.206998468545962,HOLD,0.8,1.5,False,,
2025-10-08 08:45:00,0.01966165305537352,0.3350224063923751,17.03938145225351,HOLD,0.8,1.5,False,,
2025-10-08 09:00:00,0.028235086427879415,0.17665943112412594,6.256734208176244,HOLD,0.8,1.5,False,,
2025-10-08 09:15:00,0.0471185209005554,0.129093907484303,2.7397699464454397,HOLD,0.8,1.5,False,,
2025-10-08 09:30:00,0.05720437924696341,0.11221307110274828,1.9616167954257613,HOLD,0.8,1.5,False,,
2025-10-08 09:45:00,0.03591495790077275,0.12092137858015853,3.36688069951926,HOLD,0.8,1.5,False,,
2025-10-08 10:00:00,0.06749083883468743,0.11177486092994983,1.6561486397247487,HOLD,0.8,1.5,False,,
2025-10-08 10:15:00,0.14441915382590867,0.09223431153949209,1.5657855673815326,HOLD,0.8,1.5,False,,
2025-10-08 10:30:00,0.07999258931482313,0.12781800766553353,1.5978731125015357,HOLD,0.8,1.5,False,,
2025-10-08 10:45:00,0.027763973721959007,0.17126602168070668,6.168642262661754,HOLD,0.8,1.5,False,,
2025-10-08 11:00:00,0.02008123050142057,0.16076378329497495,8.005673919414566,HOLD,0.8,1.5,False,,
2025-10-08 11:15:00,0.01973907335237776,0.31938601716177417,16.180395678163944,HOLD,0.8,1.5,False,,
2025-10-08 11:30:00,0.054903668215218006,0.1686013132339698,3.0708569885178907,HOLD,0.8,1.5,False,,
2025-10-08 11:45:00,0.11880042440191346,0.11682450090356265,1.0169136053059786,HOLD,0.8,1.5,False,,
2025-10-08 12:00:00,0.07950558068100637,0.14584710654615352,1.834426027668721,HOLD,0.8,1.5,False,,
2025-10-08 12:15:00,0.08574780221625698,0.08307312587636285,1.0321966497790733,HOLD,0.8,1.5,False,,
2025-10-08 12:30:00,0.10252043615046506,0.08590034385373341,1.1934810915894758,HOLD,0.8,1.5,False,,
2025-10-08 12:45:00,0.08444319625792976,0.15275680064838063,1.8089888518879433,HOLD,0.8,1.5,False,,
2025-10-08 13:00:00,0.09447266787109375,0.07564226010463536,1.2489403111489588,HOLD,0.8,1.5,False,,
2025-10-08 13:15:00,0.08129181478051634,0.08361710333094707,1.0286042150333203,HOLD,0.8,1.5,False,,
2025-10-08 13:30:00,0.08997026340037322,0.06963990251006928,1.2919355162417747,HOLD,0.8,1.5,False,,
2025-10-08 13:45:00,0.15221265406095363,0.047657875923149524,3.1938614785602994,HOLD,0.8,1.5,False,,
2025-10-08 14:00:00,0.11097546239535637,0.08476677009158196,1.3091859259879617,HOLD,0.8,1.5,False,,
2025-10-08 14:15:00,0.028198851244172565,0.5440476463915485,19.29325566068861,HOLD,0.8,1.5,False,,
2025-10-08 14:30:00,0.026003328521737486,0.29539558241569525,11.359914257467434,HOLD,0.8,1.5,False,,
2025-10-08 14:45:00,0.07255272044600101,0.21916463620719565,3.0207638646756716,HOLD,0.8,1.5,False,,
2025-10-08 15:00:00,0.09852475624628275,0.13905319271655273,1.4113528215077322,HOLD,0.8,1.5,False,,
2025-10-08 15:15:00,0.059418745843219656,0.26809725503144494,4.511997875869637,HOLD,0.8,1.5,False,,
2025-10-08 15:30:00,0.06464998765700328,0.22670277171446557,3.5066174013400255,HOLD,0.8,1.5,False,,
2025-10-08 15:45:00,0.0850956502620814,0.1514979517092223,1.7803254483940383,HOLD,0.8,1.5,False,,
2025-10-08 16:00:00,0.10991468093660486,0.09954810003073011,1.104136401424785,HOLD,0.8,1.5,False,,
2025-10-08 16:15:00,0.7712169424975039,0.08782182041218468,8.781609614533824,HOLD,0.8,1.5,False,,
2025-10-08 16:30:00,0.83889186876018,0.06783727033009641,12.366238568829921,LONG,0.8,1.5,False,,
2025-10-09 02:45:00,0.18977280351889422,0.08992128248213913,2.110432572584676,HOLD,0.8,1.5,False,,
2025-10-09 03:00:00,0.21508610130662126,0.07339278597822443,2.9306163874258306,HOLD,0.8,1.5,False,,
2025-10-09 03:15:00,0.09717572015167208,0.07949987264490903,1.2223380606622265,HOLD,0.8,1.5,False,,
2025-10-09 03:30:00,0.09800429082851778,0.08371593434228092,1.170676665063756,HOLD,0.8,1.5,False,,
2025-10-09 03:45:00,0.094937033824484,0.08743608125993033,1.0857878401738386,HOLD,0.8,1.5,False,,
2025-10-09 04:00:00,0.07201600100523323,0.12363930773158599,1.716831065398944,HOLD,0.8,1.5,False,,
2025-10-09 04:15:00,0.06012939659821925,0.2545992247358891,4.234188918227547,HOLD,0.8,1.5,False,,
2025-10-09 04:30:00,0.019170843810249534,0.4669300865849313,24.35626158173022,HOLD,0.8,1.5,False,,
2025-10-09 04:45:00,0.022244239487891664,0.34423896658843184,15.475420806173815,HOLD,0.8,1.5,False,,
2025-10-09 05:00:00,0.015854348296866917,0.5958358578781003,37.58185746404016,HOLD,0.8,1.5,False,,
2025-10-09 05:15:00,0.022510251111851218,0.43650799777953747,19.39152058369195,HOLD,0.8,1.5,False,,
2025-10-09 05:30:00,0.025355727207295398,0.3889892976605905,15.341279486106387,HOLD,0.8,1.5,False,,
2025-10-09 05:45:00,0.028552586162790897,0.38765986238991723,13.577049034357072,HOLD,0.8,1.5,False,,
2025-10-09 06:00:00,0.033402770455737044,0.3635340687158207,10.883350804615144,HOLD,0.8,1.5,False,,
2025-10-09 06:15:00,0.0334203749336148,0.1954065296745535,5.8469281108516284,HOLD,0.8,1.5,False,,
2025-10-09 06:30:00,0.029065781184472998,0.21476110552114028,7.388795235129139,HOLD,0.8,1.5,False,,
2025-10-09 06:45:00,0.023746794683656845,0.3536434100474964,14.89225871358895,HOLD,0.8,1.5,False,,
2025-10-09 07:00:00,0.03486676996842295,0.2294375152342889,6.580406370939399,HOLD,0.8,1.5,False,,
2025-10-09 07:15:00,0.030356217780770803,0.30060263665861925,9.902506261799074,HOLD,0.8,1.5,False,,
2025-10-09 07:30:00,0.030974513450483594,0.28128652035488316,9.081224820675644,HOLD,0.8,1.5,False,,
2025-10-09 07:45:00,0.03903307614044461,0.2386861246850095,6.114970898685894,HOLD,0.8,1.5,False,,
2025-10-09 08:00:00,0.04194948412781611,0.2322780202584195,5.537088836436948,HOLD,0.8,1.5,False,,
2025-10-09 08:15:00,0.08127320472679679,0.20617591256955417,2.5368251844211502,HOLD,0.8,1.5,False,,
2025-10-09 08:30:00,0.22110868253137234,0.1541637553305068,1.4342455660693034,HOLD,0.8,1.5,False,,
2025-10-09 08:45:00,0.16803780138737803,0.12238475083074528,1.373028912889398,HOLD,0.8,1.5,False,,
2025-10-09 09:00:00,0.22000605814981575,0.11286039665635698,1.9493645660284296,HOLD,0.8,1.5,False,,
2025-10-09 09:15:00,0.14232564459786962,0.09028428207535534,1.5764166400423743,HOLD,0.8,1.5,False,,
2025-10-09 09:30:00,0.12908641583020428,0.08667365815027177,1.4893384978213189,HOLD,0.8,1.5,False,,
2025-10-09 09:45:00,0.12624120563575542,0.10507659656580629,1.201420770767869,HOLD,0.8,1.5,False,,
2025-10-09 10:00:00,0.09923907099782808,0.11195290867372061,1.1281132274623045,HOLD,0.8,1.5,False,,
2025-10-09 10:15:00,0.06919899743501652,0.12282879281768942,1.7750082713703423,HOLD,0.8,1.5,False,,
2025-10-09 10:30:00,0.19245184934775889,0.06764694773104725,2.844945053735679,HOLD,0.8,1.5,False,,
2025-10-09 10:45:00,0.08859082603059727,0.08983506312123093,1.0140447622669635,HOLD,0.8,1.5,False,,
2025-10-09 11:00:00,0.06821770970726135,0.11205456724189262,1.642602305511953,HOLD,0.8,1.5,False,,
2025-10-09 11:15:00,0.05876469490097651,0.10172616742173532,1.7310762455782769,HOLD,0.8,1.5,False,,
2025-10-09 11:30:00,0.03635429980853689,0.2201352841461474,6.05527503776745,HOLD,0.8,1.5,False,,
2025-10-09 11:45:00,0.03564586930717898,0.2126808408724525,5.966493313423532,HOLD,0.8,1.5,False,,
