timestamp,proba_long,proba_short,confidence_ratio,decision,base_prob_threshold,base_ratio_threshold,ict_mode,cooldown_blocked,cooldown_remaining_minutes
2025-10-08 08:30:00,0.25016944624690074,0.08186344606078697,3.055935930929901,HOLD,0.8,1.5,False,,
2025-10-08 08:45:00,0.04268574343267601,0.4775273380703612,11.187045127221872,HOLD,0.8,1.5,False,,
2025-10-08 09:00:00,0.04576575316908565,0.19546387928787357,4.270963892273659,HOLD,0.8,1.5,False,,
2025-10-08 09:15:00,0.05103622396292838,0.18370563586097943,3.599514650504302,HOLD,0.8,1.5,False,,
2025-10-08 09:30:00,0.07984467796452736,0.15319768828623626,1.918696301265032,HOLD,0.8,1.5,False,,
2025-10-08 09:45:00,0.038189137093205365,0.19113196209676123,5.004877738668977,HOLD,0.8,1.5,False,,
2025-10-08 10:00:00,0.06106125927866052,0.1439747999421217,2.357874725201377,HOLD,0.8,1.5,False,,
2025-10-08 10:15:00,0.2106887637716276,0.12778489802795368,1.6487767101049626,HOLD,0.8,1.5,False,,
2025-10-08 10:30:00,0.09380965709823212,0.143237378514339,1.5268937436190495,HOLD,0.8,1.5,False,,
2025-10-08 10:45:00,0.07242143060096949,0.18997361151942124,2.623168445347973,HOLD,0.8,1.5,False,,
2025-10-08 11:00:00,0.07076203712572442,0.162676306636649,2.2989206253010854,HOLD,0.8,1.5,False,,
2025-10-08 11:15:00,0.02781615031129079,0.5225776590048424,18.786843368211315,HOLD,0.8,1.5,False,,
2025-10-08 11:30:00,0.052372642428797564,0.20699297014369317,3.9523109880336347,HOLD,0.8,1.5,False,,
2025-10-08 11:45:00,0.0678132356203971,0.1791304877638705,2.6415269250180273,HOLD,0.8,1.5,False,,
2025-10-08 12:00:00,0.08040114692956596,0.14978499111178079,1.8629708260629336,HOLD,0.8,1.5,False,,
2025-10-08 12:15:00,0.15343282882194695,0.09204478102040202,1.666936757532598,HOLD,0.8,1.5,False,,
2025-10-08 12:30:00,0.06259642252444672,0.20512095015140044,3.276879762118857,HOLD,0.8,1.5,False,,
2025-10-08 12:45:00,0.03606607308208556,0.419760859570712,11.638662701518568,HOLD,0.8,1.5,False,,
2025-10-08 13:00:00,0.10486371336082898,0.1421483379061624,1.355553158956326,HOLD,0.8,1.5,False,,
2025-10-08 13:15:00,0.04391394917438482,0.20931658157695981,4.766516915747013,HOLD,0.8,1.5,False,,
2025-10-08 13:30:00,0.18642023819698755,0.09781257919457537,1.9058922659236688,HOLD,0.8,1.5,False,,
2025-10-08 13:45:00,0.4654746471643329,0.05413358164903021,8.598630147589205,HOLD,0.8,1.5,False,,
2025-10-08 14:00:00,0.21113843917825173,0.09911511804061339,2.1302344521421617,HOLD,0.8,1.5,False,,
2025-10-08 14:15:00,0.11330557028562967,0.36514313696989553,3.2226406526123452,HOLD,0.8,1.5,False,,
2025-10-08 14:30:00,0.08656244847628543,0.15150723844938932,1.7502651682836363,HOLD,0.8,1.5,False,,
2025-10-08 14:45:00,0.14264289483281614,0.19129985547884099,1.341110299977107,HOLD,0.8,1.5,False,,
2025-10-08 15:00:00,0.3341201526110903,0.0769241254724259,4.343502777043055,HOLD,0.8,1.5,False,,
2025-10-08 15:15:00,0.13903405836043214,0.13488728533959018,1.030742504828399,HOLD,0.8,1.5,False,,
2025-10-08 15:30:00,0.07602063695840053,0.17866800590551318,2.3502566283847717,HOLD,0.8,1.5,False,,
2025-10-08 15:45:00,0.10694084422547756,0.15956913306451093,1.4921252419521784,HOLD,0.8,1.5,False,,
2025-10-08 16:00:00,0.12425129867084259,0.1199888408919117,1.0355237849390562,HOLD,0.8,1.5,False,,
2025-10-08 16:15:00,0.9506189256758751,0.07642329351333531,12.438863623562613,LONG,0.8,1.5,False,,
2025-10-09 02:30:00,0.2050895507808227,0.26816921214671946,1.3075713078786224,HOLD,0.8,1.5,False,,
2025-10-09 02:45:00,0.29576012719728073,0.18129869399450482,1.6313417415254257,HOLD,0.8,1.5,False,,
2025-10-09 03:00:00,0.3929643269036829,0.14716889947820236,2.670158765180452,HOLD,0.8,1.5,False,,
2025-10-09 03:15:00,0.2576838631064839,0.14206792613791247,1.8138074519109768,HOLD,0.8,1.5,False,,
2025-10-09 03:30:00,0.19500763741831345,0.15718158908889665,1.2406519017187416,HOLD,0.8,1.5,False,,
2025-10-09 03:45:00,0.25003145212668104,0.1311386147085893,1.9066195924235616,HOLD,0.8,1.5,False,,
2025-10-09 04:00:00,0.18033193414757215,0.21664512585356993,1.2013686143702167,HOLD,0.8,1.5,False,,
2025-10-09 04:15:00,0.17203829831058604,0.2239102898962185,1.3015142098882329,HOLD,0.8,1.5,False,,
2025-10-09 04:30:00,0.05634310123601228,0.6832619438497969,12.126807521434104,HOLD,0.8,1.5,False,,
2025-10-09 04:45:00,0.05417405039975877,0.534356985129347,9.86370746115979,HOLD,0.8,1.5,False,,
2025-10-09 05:00:00,0.018252638280193974,0.8610084499306365,47.17172590139591,SHORT,0.8,1.5,False,,
2025-10-09 14:30:00,0.16398350451437005,0.3312689567827196,2.020135853077162,HOLD,0.8,1.5,False,,
2025-10-09 14:45:00,0.204167495693134,0.2668888604531866,1.3072054371197437,HOLD,0.8,1.5,False,,
2025-10-09 15:00:00,0.16501853223139576,0.2713305359469,1.6442428149005057,HOLD,0.8,1.5,False,,
2025-10-09 15:15:00,0.09413568041883619,0.470944966773975,5.00283170715512,HOLD,0.8,1.5,False,,
2025-10-09 15:30:00,0.08271870072748073,0.35302912171343753,4.26782720967176,HOLD,0.8,1.5,False,,
2025-10-09 15:45:00,0.2432422831075858,0.2853304120872256,1.173029657680956,HOLD,0.8,1.5,False,,
2025-10-09 16:00:00,0.14631977182734351,0.3050898728482154,2.0850898620059337,HOLD,0.8,1.5,False,,
2025-10-09 16:15:00,0.36343980111733254,0.0784814001099572,4.630903635869535,HOLD,0.8,1.5,False,,
2025-10-09 16:30:00,0.36961757458918526,0.08883608657060202,4.160669260182162,HOLD,0.8,1.5,False,,
2025-10-09 16:45:00,0.2862224906511362,0.22875726449995015,1.2512061257455653,HOLD,0.8,1.5,False,,
2025-10-09 17:00:00,0.6406672601915365,0.102121830030516,6.273558356720523,HOLD,0.8,1.5,False,,
2025-10-09 17:15:00,0.6500381504021211,0.06662737504808605,9.756322381498267,HOLD,0.8,1.5,False,,
2025-10-09 17:30:00,0.5433304382606001,0.0627456471136245,8.659253083750922,HOLD,0.8,1.5,False,,
2025-10-09 17:45:00,0.414158036227562,0.08646518489689889,4.78988204005351,HOLD,0.8,1.5,False,,
2025-10-09 18:00:00,0.25432394714597384,0.24057266027369775,1.0571606385223964,HOLD,0.8,1.5,False,,
2025-10-09 18:15:00,0.24898502567207365,0.12923883713013773,1.926549566686033,HOLD,0.8,1.5,False,,
2025-10-09 18:30:00,0.18615862290110632,0.15494098453970798,1.2014808312606142,HOLD,0.8,1.5,False,,
2025-10-09 18:45:00,0.2278207060314362,0.12344486954107517,1.8455259167788332,HOLD,0.8,1.5,False,,
2025-10-09 19:00:00,0.1884807397074942,0.12696340640577208,1.4845280624018087,HOLD,0.8,1.5,False,,
2025-10-09 19:15:00,0.23629449483490322,0.10631674759586798,2.2225519513925276,HOLD,0.8,1.5,False,,
2025-10-09 19:30:00,0.2144263416768023,0.2749944180415477,1.2824656517996171,HOLD,0.8,1.5,False,,
2025-10-09 19:45:00,0.21656525281721886,0.14823043815817838,1.4610039308264045,HOLD,0.8,1.5,False,,
2025-10-09 20:00:00,0.22583903009014983,0.19366896759528762,1.1661085040846006,HOLD,0.8,1.5,False,,
2025-10-09 20:15:00,0.5891627512141009,0.07998723557555254,7.365709628226904,HOLD,0.8,1.5,False,,
2025-10-09 20:30:00,0.5898132478073883,0.06488774927603982,9.089747361990566,HOLD,0.8,1.5,False,,
2025-10-09 20:45:00,0.44429732123271637,0.10174175248847321,4.3669124068120695,HOLD,0.8,1.5,False,,
2025-10-09 21:00:00,0.4436644272198607,0.10664899312253283,4.1600432805785506,HOLD,0.8,1.5,False,,
2025-10-09 21:15:00,0.18840362925995144,0.20467453013810416,1.0863619291309023,HOLD,0.8,1.5,False,,
2025-10-09 21:30:00,0.26604661944927116,0.14389030497604988,1.8489544482760938,HOLD,0.8,1.5,False,,
2025-10-09 21:45:00,0.23307071136903523,0.10442312710275617,2.2319836403643145,HOLD,0.8,1.5,False,,
2025-10-09 22:00:00,0.1945459282599982,0.14720037543102055,1.3216401635549102,HOLD,0.8,1.5,False,,
2025-10-09 22:15:00,0.07317497378645962,0.13457442366353445,1.839077169419311,HOLD,0.8,1.5,False,,
2025-10-09 22:30:00,0.06760762735521471,0.1494460035914238,2.21049028693501,HOLD,0.8,1.5,False,,
2025-10-09 22:45:00,0.03786270588847034,0.28114127957140433,7.4252822922784105,HOLD,0.8,1.5,False,,
2025-10-09 23:00:00,0.03480344492133093,0.21999940844893492,6.321196334047321,HOLD,0.8,1.5,False,,
2025-10-09 23:15:00,0.05938099238541879,0.20803715004678444,3.503429998213851,HOLD,0.8,1.5,False,,
2025-10-09 23:30:00,0.04735272757782504,0.19242905745963015,4.0637375564769656,HOLD,0.8,1.5,False,,
