entry_time,exit_time,side,entry_price,exit_price,size,pnl_pct,pnl_usd,fees_usd,net_pnl_usd,exit_reason,duration,mae_pct,mfe_pct,partial_tp_hit,partial_tp_time,partial_tp_price,tsl_history,chart_ohlcv,entry_hour,exit_hour,entry_day_of_week,exit_day_of_week
2025-08-11 00:15:00,2025-08-11 01:30:00,Long,0.234595184,0.23631919468281803,50.0,0.7348875000000143,0.3674437500000072,0.0375,0.3299437500000072,Dynamic TP Level 1 (25%),0 days 01:15:00,-0.8462168601039988,0.8460599941386704,True,2025-08-11 01:30:00,0.23635464788000002,"[[""2025-08-11 01:15:00"", 0.23309549999999998]]","{""index"": [1754871300000, 1754872200000, 1754873100000, 1754874000000, 1754874900000, 1754875800000], ""columns"": [""open"", ""high"", ""low"", ""close"", ""volume""], ""data"": [[0.23294, 0.23458, 0.23287, 0.23456, 22405044.0], [0.23456, 0.23482, 0.23332, 0.23347, 21407619.0], [0.23347, 0.23411, 0.2328, 0.233, 12245560.0], [0.233, 0.23435, 0.23261, 0.2341, 12885109.0], [0.2341, 0.23545, 0.23367, 0.23529, 22930661.0], [0.23529, 0.23658, 0.23522, 0.2361, 39040904.0]]}",0,1,0,0
2025-08-11 00:15:00,2025-08-11 02:00:00,Long,0.234595184,0.23807839464323602,50.0,1.4847749999999937,0.7423874999999969,0.0375,0.7048874999999969,Dynamic TP Level 2 (50%),0 days 01:45:00,-0.8462168601039988,1.719905724918891,True,2025-08-11 02:00:00,0.23811411176000002,"[[""2025-08-11 01:15:00"", 0.23309549999999998]]","{""index"": [1754871300000, 1754872200000, 1754873100000, 1754874000000, 1754874900000, 1754875800000, 1754876700000, 1754877600000], ""columns"": [""open"", ""high"", ""low"", ""close"", ""volume""], ""data"": [[0.23294, 0.23458, 0.23287, 0.23456, 22405044.0], [0.23456, 0.23482, 0.23332, 0.23347, 21407619.0], [0.23347, 0.23411, 0.2328, 0.233, 12245560.0], [0.233, 0.23435, 0.23261, 0.2341, 12885109.0], [0.2341, 0.23545, 0.23367, 0.23529, 22930661.0], [0.23529, 0.23658, 0.23522, 0.2361, 39040904.0], [0.2361, 0.23614, 0.23531, 0.23604, 23262529.0], [0.23604, 0.23863, 0.23586, 0.2385, 65226757.0]]}",0,2,0,0
2025-08-11 00:15:00,2025-08-11 02:30:00,Long,0.234595184,0.239837594603654,50.0,2.2346624999999953,1.1173312499999977,0.0375,1.0798312499999976,Dynamic TP Level 3 (75%),0 days 02:15:00,-0.8462168601039988,2.738681967145573,True,2025-08-11 02:30:00,0.23987357564,"[[""2025-08-11 01:15:00"", 0.23309549999999998], [""2025-08-11 02:00:00"", 0.2362437], [""2025-08-11 02:15:00"", 0.2369664]]","{""index"": [1754871300000, 1754872200000, 1754873100000, 1754874000000, 1754874900000, 1754875800000, 1754876700000, 1754877600000, 1754878500000, 1754879400000], ""columns"": [""open"", ""high"", ""low"", ""close"", ""volume""], ""data"": [[0.23294, 0.23458, 0.23287, 0.23456, 22405044.0], [0.23456, 0.23482, 0.23332, 0.23347, 21407619.0], [0.23347, 0.23411, 0.2328, 0.233, 12245560.0], [0.233, 0.23435, 0.23261, 0.2341, 12885109.0], [0.2341, 0.23545, 0.23367, 0.23529, 22930661.0], [0.23529, 0.23658, 0.23522, 0.2361, 39040904.0], [0.2361, 0.23614, 0.23531, 0.23604, 23262529.0], [0.23604, 0.23863, 0.23586, 0.2385, 65226757.0], [0.2385, 0.23936, 0.23791, 0.23884, 63254414.0], [0.23884, 0.24102, 0.2383, 0.24072, 40001621.0]]}",0,2,0,0
2025-08-11 00:15:00,2025-08-11 02:45:00,Long,0.234595184,0.24159679456407201,50.0,2.984549999999997,1.4922749999999985,0.0375,1.4547749999999984,Dynamic TP Level 4 (100%),0 days 02:30:00,-0.8462168601039988,3.1052709078631446,True,2025-08-11 02:45:00,0.24163303952,"[[""2025-08-11 01:15:00"", 0.23309549999999998], [""2025-08-11 02:00:00"", 0.2362437], [""2025-08-11 02:15:00"", 0.2369664], [""2025-08-11 02:30:00"", 0.2386098]]","{""index"": [1754871300000, 1754872200000, 1754873100000, 1754874000000, 1754874900000, 1754875800000, 1754876700000, 1754877600000, 1754878500000, 1754879400000, 1754880300000], ""columns"": [""open"", ""high"", ""low"", ""close"", ""volume""], ""data"": [[0.23294, 0.23458, 0.23287, 0.23456, 22405044.0], [0.23456, 0.23482, 0.23332, 0.23347, 21407619.0], [0.23347, 0.23411, 0.2328, 0.233, 12245560.0], [0.233, 0.23435, 0.23261, 0.2341, 12885109.0], [0.2341, 0.23545, 0.23367, 0.23529, 22930661.0], [0.23529, 0.23658, 0.23522, 0.2361, 39040904.0], [0.2361, 0.23614, 0.23531, 0.23604, 23262529.0], [0.23604, 0.23863, 0.23586, 0.2385, 65226757.0], [0.2385, 0.23936, 0.23791, 0.23884, 63254414.0], [0.23884, 0.24102, 0.2383, 0.24072, 40001621.0], [0.24072, 0.24188, 0.23999, 0.24045, 45071901.0]]}",0,2,0,0
2025-08-11 04:15:00,2025-08-11 05:45:00,Short,0.23992400600000002,0.2381602946413933,50.02,0.7405564228337935,0.37042632270146353,0.03751500000000001,0.3329113227014635,Dynamic TP Level 1 (25%),0 days 01:30:00,-0.8462168601039988,3.1052709078631446,True,2025-08-11 05:45:00,0.23812457595500003,"[[""2025-08-11 04:30:00"", 0.2415112], [""2025-08-11 04:45:00"", 0.24131930000000001], [""2025-08-11 05:15:00"", 0.24129910000000002], [""2025-08-11 05:30:00"", 0.2405618]]","{""index"": [1754885700000, 1754886600000, 1754887500000, 1754888400000, 1754889300000, 1754890200000, 1754891100000], ""columns"": [""open"", ""high"", ""low"", ""close"", ""volume""], ""data"": [[0.24068, 0.241, 0.23996, 0.23996, 16989045.0], [0.23996, 0.24018, 0.23912, 0.23982, 25764770.0], [0.23982, 0.24039, 0.23893, 0.23917, 31428099.0], [0.23917, 0.24051, 0.23892, 0.24033, 15519832.0], [0.24033, 0.24043, 0.23891, 0.23912, 22646205.0], [0.23912, 0.2394, 0.23818, 0.23841, 18347504.0], [0.23841, 0.23847, 0.23746, 0.23826, 31044974.0]]}",4,5,0,0
2025-08-11 04:15:00,2025-08-11 07:15:00,Short,0.23992400600000002,0.23636059468188655,50.02,1.507616497119324,0.7541097718590859,0.03751500000000001,0.7165947718590859,Dynamic TP Level 2 (50%),0 days 03:00:00,-0.8462168601039988,3.1052709078631446,True,2025-08-11 07:15:00,0.23632514591000003,"[[""2025-08-11 04:30:00"", 0.2415112], [""2025-08-11 04:45:00"", 0.24131930000000001], [""2025-08-11 05:15:00"", 0.24129910000000002], [""2025-08-11 05:30:00"", 0.2405618], [""2025-08-11 05:45:00"", 0.2398346], [""2025-08-11 06:15:00"", 0.2391781]]","{""index"": [1754885700000, 1754886600000, 1754887500000, 1754888400000, 1754889300000, 1754890200000, 1754891100000, 1754892000000, 1754892900000, 1754893800000, 1754894700000, 1754895600000, 1754896500000], ""columns"": [""open"", ""high"", ""low"", ""close"", ""volume""], ""data"": [[0.24068, 0.241, 0.23996, 0.23996, 16989045.0], [0.23996, 0.24018, 0.23912, 0.23982, 25764770.0], [0.23982, 0.24039, 0.23893, 0.23917, 31428099.0], [0.23917, 0.24051, 0.23892, 0.24033, 15519832.0], [0.24033, 0.24043, 0.23891, 0.23912, 22646205.0], [0.23912, 0.2394, 0.23818, 0.23841, 18347504.0], [0.23841, 0.23847, 0.23746, 0.23826, 31044974.0], [0.23826, 0.23898, 0.23767, 0.23791, 18949857.0], [0.23791, 0.23871, 0.23681, 0.23811, 31367833.0], [0.23811, 0.23853, 0.2376, 0.23808, 10777476.0], [0.23808, 0.23876, 0.23762, 0.23874, 12579144.0], [0.23874, 0.23883, 0.23766, 0.2377, 10282895.0], [0.2377, 0.23774, 0.23556, 0.2358, 44740552.0]]}",4,7,0,0
2025-08-11 04:15:00,2025-08-11 07:30:00,Short,0.23992400600000002,0.2345608947223798,50.02,2.2864473142327757,1.1436809465792346,0.03751500000000001,1.1061659465792346,Dynamic TP Level 3 (75%),0 days 03:15:00,-0.8462168601039988,3.1052709078631446,True,2025-08-11 07:30:00,0.234525715865,"[[""2025-08-11 04:30:00"", 0.2415112], [""2025-08-11 04:45:00"", 0.24131930000000001], [""2025-08-11 05:15:00"", 0.24129910000000002], [""2025-08-11 05:30:00"", 0.2405618], [""2025-08-11 05:45:00"", 0.2398346], [""2025-08-11 06:15:00"", 0.2391781], [""2025-08-11 07:15:00"", 0.2379156]]","{""index"": [1754885700000, 1754886600000, 1754887500000, 1754888400000, 1754889300000, 1754890200000, 1754891100000, 1754892000000, 1754892900000, 1754893800000, 1754894700000, 1754895600000, 1754896500000, 1754897400000], ""columns"": [""open"", ""high"", ""low"", ""close"", ""volume""], ""data"": [[0.24068, 0.241, 0.23996, 0.23996, 16989045.0], [0.23996, 0.24018, 0.23912, 0.23982, 25764770.0], [0.23982, 0.24039, 0.23893, 0.23917, 31428099.0], [0.23917, 0.24051, 0.23892, 0.24033, 15519832.0], [0.24033, 0.24043, 0.23891, 0.23912, 22646205.0], [0.23912, 0.2394, 0.23818, 0.23841, 18347504.0], [0.23841, 0.23847, 0.23746, 0.23826, 31044974.0], [0.23826, 0.23898, 0.23767, 0.23791, 18949857.0], [0.23791, 0.23871, 0.23681, 0.23811, 31367833.0], [0.23811, 0.23853, 0.2376, 0.23808, 10777476.0], [0.23808, 0.23876, 0.23762, 0.23874, 12579144.0], [0.23874, 0.23883, 0.23766, 0.2377, 10282895.0], [0.2377, 0.23774, 0.23556, 0.2358, 44740552.0], [0.2358, 0.23593, 0.23423, 0.23515, 59114009.0]]}",4,7,0,0
2025-08-11 04:15:00,2025-08-11 08:00:00,Short,0.23992400600000002,0.23276119476287305,50.01138874999999,3.077321906868602,1.5390114219329691,0.03750854156249999,1.501502880370469,Dynamic TP Level 4 (100%),0 days 03:45:00,-0.8462168601039988,3.5494199395770476,True,2025-08-11 08:00:00,0.23272628582000002,"[[""2025-08-11 04:30:00"", 0.2415112], [""2025-08-11 04:45:00"", 0.24131930000000001], [""2025-08-11 05:15:00"", 0.24129910000000002], [""2025-08-11 05:30:00"", 0.2405618], [""2025-08-11 05:45:00"", 0.2398346], [""2025-08-11 06:15:00"", 0.2391781], [""2025-08-11 07:15:00"", 0.2379156], [""2025-08-11 07:30:00"", 0.23657229999999999], [""2025-08-11 07:45:00"", 0.2354512]]","{""index"": [1754885700000, 1754886600000, 1754887500000, 1754888400000, 1754889300000, 1754890200000, 1754891100000, 1754892000000, 1754892900000, 1754893800000, 1754894700000, 1754895600000, 1754896500000, 1754897400000, 1754898300000, 1754899200000], ""columns"": [""open"", ""high"", ""low"", ""close"", ""volume""], ""data"": [[0.24068, 0.241, 0.23996, 0.23996, 16989045.0], [0.23996, 0.24018, 0.23912, 0.23982, 25764770.0], [0.23982, 0.24039, 0.23893, 0.23917, 31428099.0], [0.23917, 0.24051, 0.23892, 0.24033, 15519832.0], [0.24033, 0.24043, 0.23891, 0.23912, 22646205.0], [0.23912, 0.2394, 0.23818, 0.23841, 18347504.0], [0.23841, 0.23847, 0.23746, 0.23826, 31044974.0], [0.23826, 0.23898, 0.23767, 0.23791, 18949857.0], [0.23791, 0.23871, 0.23681, 0.23811, 31367833.0], [0.23811, 0.23853, 0.2376, 0.23808, 10777476.0], [0.23808, 0.23876, 0.23762, 0.23874, 12579144.0], [0.23874, 0.23883, 0.23766, 0.2377, 10282895.0], [0.2377, 0.23774, 0.23556, 0.2358, 44740552.0], [0.2358, 0.23593, 0.23423, 0.23515, 59114009.0], [0.23515, 0.23515, 0.23312, 0.23336, 68129000.0], [0.23336, 0.23405, 0.2317, 0.23405, 88813995.0]]}",4,8,0,0
2025-08-11 08:30:00,2025-08-11 09:30:00,Short,0.2357546315,0.2340215697345146,50.04,0.7405564228337935,0.3705744339860303,0.03753,0.3330444339860303,Dynamic TP Level 1 (25%),0 days 01:00:00,-0.8462168601039988,3.5494199395770476,True,2025-08-11 09:30:00,0.23398647176375,"[[""2025-08-11 09:00:00"", 0.23744089999999998], [""2025-08-11 09:15:00"", 0.23657229999999999]]","{""index"": [1754901000000, 1754901900000, 1754902800000, 1754903700000, 1754904600000], ""columns"": [""open"", ""high"", ""low"", ""close"", ""volume""], ""data"": [[0.23516, 0.23671, 0.23474, 0.23579, 45579002.0], [0.23579, 0.2366, 0.23509, 0.23601, 25051195.0], [0.23601, 0.23621, 0.23511, 0.23559, 16356906.0], [0.23559, 0.23565, 0.23423, 0.23505, 27871136.0], [0.23505, 0.23564, 0.2339, 0.23464, 24011965.0]]}",8,9,0,0
2025-08-11 08:30:00,2025-08-11 10:45:00,Short,0.2357546315,0.23225314477430414,50.04,1.5076164971193462,0.7544112951585208,0.03753,0.7168812951585208,Dynamic TP Level 2 (50%),0 days 02:15:00,-0.8462168601039988,3.5494199395770476,True,2025-08-11 10:45:00,0.23221831202749998,"[[""2025-08-11 09:00:00"", 0.23744089999999998], [""2025-08-11 09:15:00"", 0.23657229999999999], [""2025-08-11 09:45:00"", 0.23557240000000002], [""2025-08-11 10:00:00"", 0.23518860000000003], [""2025-08-11 10:15:00"", 0.2346028]]","{""index"": [1754901000000, 1754901900000, 1754902800000, 1754903700000, 1754904600000, 1754905500000, 1754906400000, 1754907300000, 1754908200000, 1754909100000], ""columns"": [""open"", ""high"", ""low"", ""close"", ""volume""], ""data"": [[0.23516, 0.23671, 0.23474, 0.23579, 45579002.0], [0.23579, 0.2366, 0.23509, 0.23601, 25051195.0], [0.23601, 0.23621, 0.23511, 0.23559, 16356906.0], [0.23559, 0.23565, 0.23423, 0.23505, 27871136.0], [0.23505, 0.23564, 0.2339, 0.23464, 24011965.0], [0.23464, 0.2348, 0.23324, 0.23421, 21458903.0], [0.23421, 0.2343, 0.23286, 0.23348, 24560465.0], [0.23348, 0.23445, 0.23228, 0.2341, 35392381.0], [0.2341, 0.23435, 0.23268, 0.2331, 28749847.0], [0.2331, 0.23339, 0.23207, 0.23253, 27091934.0]]}",8,10,0,0
