timestamp,proba_long,proba_short,proba_diff,decision,base_prob_threshold,base_diff_threshold,ict_mode,cooldown_blocked,cooldown_remaining_minutes
2025-08-10 22:45:00,0.4294676546584481,0.29271815790255923,0.13674949675588888,HOLD,0.7,0.3,False,,
2025-08-10 23:00:00,0.34404940822654073,0.3490425268231466,0.004993118596605894,HOLD,0.7,0.3,False,,
2025-08-10 23:15:00,0.4633336188234983,0.27328815154833824,0.19004546727516008,HOLD,0.7,0.3,False,,
2025-08-10 23:30:00,0.486723726242822,0.2749516920640301,0.21177203417879192,HOLD,0.7,0.3,False,,
2025-08-10 23:45:00,0.3889386553222899,0.2917393925855557,0.09719926273673418,HOLD,0.7,0.3,False,,
2025-08-11 00:00:00,0.3333902132548819,0.2825362883446112,0.05085392491027069,HOLD,0.7,0.3,False,,
2025-08-11 00:15:00,0.8936310698127532,0.2116857332780093,0.6819453365347439,LONG,0.7,0.3,False,,
2025-08-11 02:45:00,0.30058112514454327,0.686593128069754,0.38601200292521076,HOLD,0.7,0.3,False,,
2025-08-11 03:00:00,0.3275939979938055,0.6585110550779748,0.3309170570841693,HOLD,0.7,0.3,False,,
2025-08-11 03:15:00,0.38327001920313536,0.6691232204157953,0.28585320121265995,HOLD,0.7,0.3,False,,
2025-08-11 03:30:00,0.4278371649049502,0.6217744259198311,0.1939372610148809,HOLD,0.7,0.3,False,,
2025-08-11 03:45:00,0.4899817663701926,0.5198974463179968,0.029915679947804252,HOLD,0.7,0.3,False,,
2025-08-11 04:00:00,0.39089023108980747,0.6346367784495468,0.24374654735973933,HOLD,0.7,0.3,False,,
2025-08-11 04:15:00,0.21160178768522833,0.8762074913234712,0.6646057036382429,SHORT,0.7,0.3,False,,
2025-08-11 08:00:00,0.228134375557082,0.6762314790198113,0.4480971034627293,HOLD,0.7,0.3,False,,
2025-08-11 08:15:00,0.09642215755077276,0.87470691442272,0.7782847568719472,SHORT,0.7,0.3,False,True,15.0
