symbol,orderType,leverage,updatedTime,side,orderId,closedPnl,openFee,closeFee,avgEntryPrice,qty,cumEntryValue,createdTime,orderPrice,closedSize,avgExitPrice,execType,fillCount,cumExitValue,createdTime_readable,updatedTime_readable,ticker,date
ETHUSDT,Market,20,1762484330072,Sell,a0146476-0c05-40f4-a47a-8305da9435e8,1.02175989,0.01316018,0.03677993,3290.045,0.02,65.8009,1762484330068,3276.8,0.02,3343.63,Trade,1,66.8726,2025-11-07 02:58:50,2025-11-07 02:58:50,ETHUSDT,2025-11-07
HBARUSDT,Market,20,1762539580646,Buy,08282f78-c358-41ad-84bb-5319f3eab0a1,-1.06360226,0.00712328,0.02015898,0.17459,204.0,35.61636,1762534503012,0.18331,204.0,0.17967,Trade,1,36.65268,2025-11-07 16:55:03,2025-11-07 18:19:40,HBARUSDT,2025-11-07
HBARUSDT,Market,20,1762533521579,Buy,e5e21063-f95e-4cf4-9243-af3e53719e6d,-0.92943216,0.01261528,0.03517688,0.16956,372.0,63.07632,1762531228311,0.17803,372.0,0.17193,Trade,1,63.95796,2025-11-07 16:00:28,2025-11-07 16:38:41,HBARUSDT,2025-11-07
HBARUSDT,Market,20,1762526652693,Sell,23c673bf-3855-453d-85ff-d8c13febaf57,0.02507181,0.00032366,0.00090453,0.16183,10.0,1.6183,1762526652689,0.15628,10.0,0.16446,Trade,1,1.6446,2025-11-07 14:44:12,2025-11-07 14:44:12,HBARUSDT,2025-11-07
HBARUSDT,Market,20,1762526719745,Sell,3842a197-ac2f-4443-91ca-eda7b1dc1d05,0.8845163,0.00802677,0.02257693,0.16183,248.0,40.13384,1762526128048,0.15726,248.0,0.16552,Trade,1,41.04896,2025-11-07 14:35:28,2025-11-07 14:45:19,HBARUSDT,2025-11-07
HBARUSDT,Market,20,1762522782352,Sell,e4a9ddfc-ef2e-4d1b-ac68-465fe945e66b,0.24623336,0.01293985,0.03574679,0.16094334,402.0,64.69922,1762522782348,0.15364,402.0,0.16167696,Trade,6,64.99414,2025-11-07 13:39:42,2025-11-07 13:39:42,HBARUSDT,2025-11-07
HBARUSDT,Market,20,1762506011073,Buy,8e6ddfc1-43d3-4292-8728-f78911880462,0.08187652,0.0047766,0.01308019,0.16819,142.0,23.88298,1762506011069,0.17586,142.0,0.16748,Trade,1,23.78216,2025-11-07 09:00:11,2025-11-07 09:00:11,HBARUSDT,2025-11-07
HBARUSDT,Market,20,1762484488511,Buy,aa5771cf-5570-427f-aeeb-1059937e8fd2,-0.9856113,0.01461057,0.04069073,0.16453333,444.0,73.0528,1762475606905,0.17276,444.0,0.16662863,Trade,4,73.98311,2025-11-07 00:33:26,2025-11-07 03:01:28,HBARUSDT,2025-11-07
KASUSDT,Market,20,1762526688176,Sell,4bfd22c9-f24d-4a1f-8dac-8f7fb0675aed,0.00985977,0.00019584,0.00054439,0.04896,20.0,0.9792,1762526688173,0.04652,20.0,0.04949,Trade,1,0.9898,2025-11-07 14:44:48,2025-11-07 14:44:48,KASUSDT,2025-11-07
KASUSDT,Market,20,1762528228004,Sell,9809f0cb-4f85-468b-a0e0-a2c71cd7eb88,1.49122152,0.01214208,0.0342364,0.04896,1240.0,60.7104,1762526242370,0.04652,1240.0,0.0502,Trade,1,62.248,2025-11-07 14:37:22,2025-11-07 15:10:28,KASUSDT,2025-11-07
KASUSDT,Market,20,1762518438966,Sell,69176c42-f529-40f6-af78-74f8834a89c1,-0.83471232,0.01356448,0.03687222,0.04914667,1380.0,67.8224,1762512713010,0.04669,1380.0,0.04858,Trade,2,67.0404,2025-11-07 10:51:53,2025-11-07 12:27:18,KASUSDT,2025-11-07
KASUSDT,Market,20,1762506007072,Sell,50ff637d-700e-471e-ba9a-47c7e40b2d22,0.15077436,0.0090464,0.02497924,0.0514,880.0,45.232,1762506007069,0.04883,880.0,0.05161,Trade,2,45.4168,2025-11-07 09:00:07,2025-11-07 09:00:07,KASUSDT,2025-11-07
KASUSDT,Market,20,1762501684589,Sell,a5a16c50-75e2-49ae-850f-940b889df3a2,0.17771601,0.0137754,0.03800859,0.05102,1350.0,68.877,1762501684586,0.04847,1350.0,0.05119,Trade,3,69.1065,2025-11-07 07:48:04,2025-11-07 07:48:04,KASUSDT,2025-11-07
LINKUSDT,Market,20,1762541104422,Buy,75fe1dcc-ad1f-4c76-8024-0421ec896177,-1.89748332,0.00748152,0.0216018,15.5865,2.4,37.4076,1762541104419,16.203,2.4,16.365,BustTrade,1,39.276,2025-11-07 18:45:04,2025-11-07 18:45:04,LINKUSDT,2025-11-07
LINKUSDT,Market,20,1762532603171,Buy,bd55d268-e01f-4e0d-acff-8063fce5db86,-0.99105198,0.0135249,0.03771158,15.02766666,4.5,67.6245,1762528566040,15.779,4.5,15.237,Trade,1,68.5665,2025-11-07 15:16:06,2025-11-07 16:23:23,LINKUSDT,2025-11-07
LINKUSDT,Market,20,1762526602112,Sell,cb09ff4a-9edf-494f-8f25-0432c1a1ce42,0.28020153,0.0040096,0.01118887,14.32,1.4,20.048,1762526249762,13.805,1.4,14.531,Trade,1,20.3434,2025-11-07 14:37:29,2025-11-07 14:43:22,LINKUSDT,2025-11-07
LINKUSDT,Market,20,1762518431313,Sell,df5e0043-6dd5-4b5c-a965-2b38990b5191,-0.88109376,0.01406656,0.0382272,14.65266667,4.8,70.3328,1762512696428,13.921,4.8,14.48,Trade,7,69.504,2025-11-07 10:51:36,2025-11-07 12:27:11,LINKUSDT,2025-11-07
ONDOUSDT,Market,20,1762542343440,Buy,bb314f77-c13b-4d6b-9fb3-49e185aa4b26,0.50746211,0.00574098,0.01549691,0.68345,42.0,28.7049,1762539540987,0.7044,42.0,0.67086191,Trade,2,28.1762,2025-11-07 18:19:00,2025-11-07 19:05:43,ONDOUSDT,2025-11-07
