timestamp,proba_long,proba_short,confidence_ratio,decision,base_prob_threshold,base_ratio_threshold,ict_mode,cooldown_blocked,cooldown_remaining_minutes
2025-10-08 08:30:00,0.2754733122340157,0.03546138416480003,7.768261694292753,HOLD,0.8,1.5,False,,
2025-10-08 08:45:00,0.08181477742675448,0.06903256307330641,1.1851621000928867,HOLD,0.8,1.5,False,,
2025-10-08 09:00:00,0.12999312857728337,0.041345768229612674,3.144049177061358,HOLD,0.8,1.5,False,,
2025-10-08 09:15:00,0.1414167988112818,0.041778959541129895,3.3848808195441538,HOLD,0.8,1.5,False,,
2025-10-08 09:30:00,0.25009704221827184,0.03850039168883009,6.495960982413359,HOLD,0.8,1.5,False,,
2025-10-08 09:45:00,0.25389033732033467,0.03775764252752644,6.724210525994601,HOLD,0.8,1.5,False,,
2025-10-08 10:00:00,0.20179354425232143,0.050931805572364,3.9620339782694884,HOLD,0.8,1.5,False,,
2025-10-08 10:15:00,0.2569794840337441,0.03773376868556039,6.810331779345503,HOLD,0.8,1.5,False,,
2025-10-08 10:30:00,0.29192433668589024,0.03612125836187967,8.081787565683776,HOLD,0.8,1.5,False,,
2025-10-08 10:45:00,0.10164704433357062,0.041101518590848866,2.4730727189287367,HOLD,0.8,1.5,False,,
2025-10-08 11:00:00,0.06096654213566869,0.04737579508402792,1.2868711127176986,HOLD,0.8,1.5,False,,
2025-10-08 11:15:00,0.04111006955936884,0.12740253262385426,3.0990590380750076,HOLD,0.8,1.5,False,,
2025-10-08 11:30:00,0.07921558539904734,0.07550921568650139,1.0490849981535237,HOLD,0.8,1.5,False,,
2025-10-08 11:45:00,0.14457734701075986,0.07178689007828178,2.0139798068017982,HOLD,0.8,1.5,False,,
2025-10-08 12:00:00,0.0915558039160045,0.08918112407421318,1.0266276060819237,HOLD,0.8,1.5,False,,
2025-10-08 12:15:00,0.5924176753699336,0.027785060708706562,21.321446139014448,HOLD,0.8,1.5,False,,
2025-10-08 12:30:00,0.6960416921455017,0.025470160959348082,27.327730408002775,HOLD,0.8,1.5,False,,
2025-10-08 12:45:00,0.40132593745815376,0.03773851341024333,10.634386497832272,HOLD,0.8,1.5,False,,
2025-10-08 13:00:00,0.2936356441348013,0.05382663214183955,5.455211155716311,HOLD,0.8,1.5,False,,
2025-10-08 13:15:00,0.5860349707001131,0.040418838040125527,14.499055369140768,HOLD,0.8,1.5,False,,
