,entry_date,entry_price,exit_date,exit_price,pnl_usd,exit_reason,capital_after_trade
0,2025-09-01 04:00:00,4.668,2025-09-01 08:00:00,4.85472,400.0,Take Profit,10400.0
1,2025-09-02 00:00:00,4.683,2025-09-02 13:00:00,4.87032,416.0,Take Profit,10816.0
2,2025-09-03 05:00:00,4.815,2025-09-04 05:00:00,4.795,-44.926272066460015,Time Exit,10771.07372793354
3,2025-09-05 00:00:00,4.696,2025-09-05 13:00:00,4.88384,430.8429491173416,Take Profit,11201.916677050882
4,2025-09-07 17:00:00,4.781,2025-09-08 17:00:00,4.885,243.67273256918904,Time Exit,11445.58940962007
5,2025-09-08 19:00:00,4.853,2025-09-09 07:00:00,5.04712,457.82357638480283,Take Profit,11903.412986004872
6,2025-09-09 16:00:00,4.855,2025-09-10 16:00:00,4.939,205.94988482480017,Time Exit,12109.362870829673
7,2025-09-10 20:00:00,4.87,2025-09-11 20:00:00,4.901,77.08218665209777,Time Exit,12186.445057481771
8,2025-09-11 21:00:00,4.897,2025-09-12 21:00:00,4.93,82.12225584988606,Time Exit,12268.567313331658
9,2025-09-13 00:00:00,4.994,2025-09-14 00:00:00,5.001,17.19663019489958,Time Exit,12285.763943526557
