feature,importance
ICHIMOKU_dist_price_kijun_25m,0
BBU_20_2.0_2.0_30m,0
FIBO_nearest_level_25m,0
FIBO_distance_to_nearest_25m,0
HURST_100_25m,0
BBM_20_2.0_2.0_30m,0
ATRr_14_30m,0
EMA_200_25m,0
ITS_9_25m,0
IKS_26_25m,0
ICS_26_25m,0
ICHIMOKU_price_vs_cloud_25m,0
ICHIMOKU_cloud_color_25m,0
ICHIMOKU_cloud_thickness_25m,0
ICHIMOKU_tk_cross_25m,0
DMN_14_25m,0
OBV_25m,0
VWAP_D_25m,0
BBL_20_2.0_2.0_30m,0
EMA_20_25m,0
EMA_50_25m,0
ATRr_14_35m,0
EMA_200_20m,0
BBL_20_2.0_2.0_35m,0
BBM_20_2.0_2.0_35m,0
BBU_20_2.0_2.0_35m,0
EMA_50_20m,0
EMA_20_20m,0
ICHIMOKU_tk_cross_30m,0
AROONOSC_25_20m,0
VWAP_D_20m,0
FIBO_nearest_level_30m,0
FIBO_distance_to_nearest_30m,0
HURST_100_30m,0
RSI_14_35m,0
EMA_50_30m,0
EMA_200_30m,0
ITS_9_30m,0
IKS_26_30m,0
ICS_26_30m,0
ICHIMOKU_tk_cross_20m,0
ICHIMOKU_cloud_thickness_20m,0
EMA_20_14m,0
EMA_50_14m,0
EMA_200_14m,0
ITS_9_14m,0
IKS_26_14m,0
BBM_20_2.0_2.0_20m,0
BBU_20_2.0_2.0_20m,0
ICHIMOKU_cloud_color_20m,0
ADXR_14_2_20m,0
ICHIMOKU_price_vs_cloud_20m,0
DMN_14_20m,0
ICS_26_20m,0
HURST_100_15m,0
RSI_14_20m,0
ATRr_14_20m,0
IKS_26_20m,0
BBL_20_2.0_2.0_20m,0
IKS_26_15m,0
ICS_26_15m,0
ICHIMOKU_price_vs_cloud_15m,0
ICHIMOKU_cloud_color_15m,0
ICHIMOKU_cloud_thickness_15m,0
ICHIMOKU_price_vs_cloud_30m,0
ICHIMOKU_cloud_color_30m,0
ICHIMOKU_cloud_thickness_30m,0
DMP_14_30m,0
ITS_9_20m,0
OBV_30m,0
VWAP_D_30m,0
EMA_20_30m,0
RSI_14_40m,0
MACDh_12_26_9_25m,0
MACDh_12_26_9_40m,0
BBL_20_2.0_2.0_40m,0
BBM_20_2.0_2.0_40m,0
BBU_20_2.0_2.0_40m,0
ATRr_14_25m,0
ICHIMOKU_cloud_thickness_35m,0
ICHIMOKU_tk_cross_35m,0
RSI_14_25m,0
FIBO_nearest_level_35m,0
FIBO_distance_to_nearest_35m,0
HURST_100_35m,0
EMA_20_35m,0
EMA_50_35m,0
EMA_200_35m,0
ITS_9_35m,0
IKS_26_35m,0
ICS_26_35m,0
ICHIMOKU_price_vs_cloud_35m,0
ICHIMOKU_cloud_color_35m,0
HURST_100_20m,0
DMP_14_35m,0
DMN_14_35m,0
FIBO_relative_position_4h,0
VWAP_D_35m,0
HURST_100_40m,0
ATRr_14_45m,0
MACDh_12_26_9_45m,0
BBL_20_2.0_2.0_45m,0
BBM_20_2.0_2.0_45m,0
BBU_20_2.0_2.0_45m,0
AROONU_25_3h,0
ICHIMOKU_cloud_color_40m,0
ICHIMOKU_cloud_thickness_40m,0
ICHIMOKU_tk_cross_40m,0
ICHIMOKU_cloud_thickness_10m,0
FIBO_nearest_level_40m,0
FIBO_distance_to_nearest_40m,0
ICHIMOKU_cloud_color_10m,0
EMA_20_40m,0
EMA_50_40m,0
EMA_200_40m,0
ITS_9_40m,0
IKS_26_40m,0
ICS_26_40m,0
ICHIMOKU_price_vs_cloud_40m,0
BBU_20_2.0_2.0_14m,0
ADXR_14_2_40m,0
DMP_14_40m,0
DMN_14_40m,0
OBV_40m,0
VWAP_D_40m,0
FIBO_distance_to_nearest_45m,0
HURST_100_45m,0
ATRr_14_50m,0
MACDh_12_26_9_50m,0
BBL_20_2.0_2.0_50m,0
BBM_20_2.0_2.0_50m,0
BBU_20_2.0_2.0_50m,0
ICHIMOKU_price_vs_cloud_45m,0
ICHIMOKU_cloud_color_45m,0
BBM_20_2.0_2.0_14m,0
ICHIMOKU_tk_cross_45m,0
BBL_20_2.0_2.0_14m,0
FIBO_nearest_level_45m,0
ATRr_14_14m,0
RSI_14_14m,0
EMA_20_45m,0
EMA_50_45m,0
EMA_200_45m,0
ITS_9_45m,0
IKS_26_45m,0
ICS_26_45m,0
HURST_100_10m,0
VWAP_D_14m,0
DMP_14_45m,0
DMN_14_45m,0
OBV_45m,0
VWAP_D_45m,0
FIBO_nearest_level_50m,0
FIBO_distance_to_nearest_50m,0
OBV_14m,0
ATRr_14_55m,0
MACDh_12_26_9_55m,0
BBL_20_2.0_2.0_55m,0
BBM_20_2.0_2.0_55m,0
ICS_26_50m,0
ICHIMOKU_price_vs_cloud_50m,0
ICHIMOKU_cloud_color_50m,0
ICHIMOKU_cloud_thickness_50m,0
ICHIMOKU_tk_cross_50m,0
DMN_14_14m,0
AROONU_25_50m,0
AROONOSC_25_50m,0
EMA_20_50m,0
EMA_50_50m,0
DMP_14_14m,0
EMA_20_10m,0
EMA_50_10m,0
EMA_200_10m,0
ITS_9_10m,0
IKS_26_10m,0
ICS_26_10m,0
BBU_20_2.0_2.0_15m,0
ADXR_14_2_15m,0
ADX_14_4h,0
BBB_20_2.0_2.0_4h,0
OBV_15m,0
FIBO_nearest_level_14m,0
FIBO_distance_to_nearest_14m,0
HURST_100_14m,0
BBM_20_2.0_2.0_4h,0
ATRr_14_15m,0
BBL_20_2.0_2.0_15m,0
BBM_20_2.0_2.0_15m,0
ICS_26_14m,0
ICHIMOKU_price_vs_cloud_14m,0
ICHIMOKU_cloud_color_14m,0
ICHIMOKU_cloud_thickness_14m,0
EMA_200_50m,0
ITS_9_50m,0
IKS_26_50m,0
BBL_20_2.0_2.0_4h,0
MACDh_12_26_9_4h,0
DMP_14_50m,0
DMN_14_50m,0
ATRr_14_4h,0
VWAP_D_50m,0
AROONU_25_4h,0
FIBO_nearest_level_55m,0
FIBO_distance_to_nearest_55m,0
HURST_100_55m,0
RSI_14_1h,0
AROOND_25_4h,0
MACDh_12_26_9_1h,0
BBL_20_2.0_2.0_1h,0
IKS_26_55m,0
ICS_26_55m,0
ICHIMOKU_price_vs_cloud_55m,0
ICHIMOKU_cloud_color_55m,0
ICHIMOKU_cloud_thickness_55m,0
ICHIMOKU_tk_cross_55m,0
VWAP_D_55m,0
AROONOSC_25_55m,0
EMA_20_55m,0
EMA_50_55m,0
EMA_200_55m,0
ITS_9_55m,0
BBU_20_2.0_2.0_55m,0
ADX_14_55m,0
ADXR_14_2_55m,0
DMP_14_55m,0
DMN_14_55m,0
OBV_55m,0
ICHIMOKU_dist_price_kijun_1h,0
FIBO_nearest_level_1h,0
FIBO_distance_to_nearest_1h,0
HURST_100_1h,0
AROOND_25_3h,0
VWAP_D_3h,0
MACDh_12_26_9_2h,0
ITS_9_1h,0
IKS_26_1h,0
ICS_26_1h,0
ICHIMOKU_price_vs_cloud_1h,0
ICHIMOKU_cloud_color_1h,0
