feature,ranking
BBM_20_2.0_2.0_40m,5
BBU_20_2.0_2.0_50m,5
ICHIMOKU_dist_price_kijun_45m,5
STOCHh_14_3_3_30m,5
ADX_14_30m,5
DMP_14_30m,5
DMN_14_30m,5
HURST_100_25m,5
RSI_14_30m,5
BBL_20_2.0_2.0_30m,5
BBM_20_2.0_2.0_30m,5
BBU_20_2.0_2.0_30m,5
ICHIMOKU_cloud_color_25m,5
ICHIMOKU_cloud_thickness_25m,5
ICHIMOKU_tk_cross_25m,5
ICHIMOKU_dist_price_kijun_25m,5
FIBO_nearest_level_25m,5
FIBO_distance_to_nearest_25m,5
AROONOSC_25_25m,5
EMA_20_25m,5
EMA_50_25m,5
EMA_200_25m,5
ITS_9_25m,5
IKS_26_25m,5
ICS_26_25m,5
ICHIMOKU_price_vs_cloud_25m,5
ICHIMOKU_price_vs_cloud_45m,5
ICHIMOKU_cloud_color_45m,5
DMN_14_25m,5
OBV_25m,5
VWAP_D_25m,5
AROOND_25_25m,5
RSI_14_35m,5
OBV_30m,5
VWAP_D_30m,5
BBL_20_2.0_2.0_50m,5
BBM_20_2.0_2.0_50m,5
ITS_9_30m,5
IKS_26_30m,5
MACDh_12_26_9_5m_lag_2,5
MACDh_12_26_9_5m,5
STOCHk_14_3_3_3h,5
ICHIMOKU_dist_price_kijun_3h,5
AROONOSC_25_4h,5
AROOND_25_3h,5
AROONOSC_25_3h,5
FIBO_nearest_level_5m,5
hour_cos,5
OBV_1h,6
VWAP_D_1h,6
ICS_26_3h,6
ICHIMOKU_price_vs_cloud_3h,6
ICHIMOKU_cloud_thickness_3h,6
ICHIMOKU_tk_cross_3h,6
MACDh_12_26_9_15m,6
MACDh_12_26_9_35m,6
ICS_26_30m,6
ICHIMOKU_price_vs_cloud_30m,6
ICHIMOKU_cloud_color_30m,6
ICHIMOKU_cloud_thickness_30m,6
ICHIMOKU_tk_cross_30m,6
AROOND_25_30m,6
MACDh_12_26_9_50m,6
AROONU_25_30m,6
AROONOSC_25_30m,6
ICHIMOKU_dist_price_kijun_30m,6
FIBO_relative_position_30m,6
FIBO_nearest_level_30m,6
FIBO_distance_to_nearest_30m,6
HURST_100_30m,6
ATRr_14_35m,6
EMA_20_30m,6
EMA_50_30m,6
EMA_200_30m,6
MACDh_12_26_9_40m,6
BBL_20_2.0_2.0_40m,6
ICS_26_20m,6
ICHIMOKU_price_vs_cloud_20m,6
VWAP_D_50m,6
ICHIMOKU_dist_price_kijun_35m,6
HURST_100_35m,6
ATRr_14_40m,6
AROONOSC_25_35m,6
EMA_20_35m,6
EMA_50_35m,6
ICS_26_35m,6
ICHIMOKU_cloud_color_20m,6
ICHIMOKU_cloud_thickness_20m,6
ICHIMOKU_tk_cross_20m,6
FIBO_nearest_level_20m,6
BBL_20_2.0_2.0_15m,6
BBM_20_2.0_2.0_15m,6
AROOND_25_1h,6
FIBO_distance_to_nearest_20m,6
ICHIMOKU_price_vs_cloud_35m,6
ICHIMOKU_cloud_color_35m,6
ICHIMOKU_tk_cross_35m,6
ADX_14_1h,6
ADXR_14_2_1h,6
AROONU_25_50m,6
EMA_50_20m,6
EMA_200_20m,6
ITS_9_20m,6
IKS_26_20m,6
RSI_14_25m,6
MACDh_12_26_9_25m,6
BBL_20_2.0_2.0_25m,6
BBM_20_2.0_2.0_25m,6
MACDh_12_26_9_14m,6
IKS_26_45m,7
BBM_20_2.0_2.0_1h,7
BBL_20_2.0_2.0_35m,7
BBM_20_2.0_2.0_35m,7
BBU_20_2.0_2.0_35m,7
IKS_26_3h,7
EMA_20_14m,7
OBV_3h,7
ICS_26_45m,7
DMN_14_15m,7
OBV_15m,7
VWAP_D_15m,7
AROONOSC_25_15m,7
EMA_20_15m,7
EMA_50_15m,7
ADXR_14_2_15m,7
DMP_14_15m,7
EMA_50_14m,7
EMA_200_14m,7
ICS_26_14m,7
DMP_14_14m,7
OBV_14m,7
MACDh_12_26_9_3h,7
ITS_9_55m,7
ITS_9_15m,7
IKS_26_15m,7
ICHIMOKU_cloud_color_15m,7
ICHIMOKU_cloud_thickness_15m,7
IKS_26_55m,7
ICS_26_55m,7
ICHIMOKU_price_vs_cloud_55m,7
ICHIMOKU_cloud_color_55m,7
ICHIMOKU_cloud_thickness_55m,7
ICHIMOKU_tk_cross_55m,7
EMA_200_15m,7
AROONOSC_25_50m,7
EMA_20_50m,7
ATRr_14_45m,7
EMA_200_1h,7
ITS_9_1h,7
IKS_26_1h,7
ICS_26_1h,7
AROONOSC_25_14m,7
BBM_20_2.0_2.0_2h,7
ICHIMOKU_price_vs_cloud_1h,7
ICHIMOKU_cloud_color_1h,7
ICHIMOKU_tk_cross_1h,7
AROONOSC_25_1h,7
EMA_20_1h,7
EMA_50_1h,7
BBU_20_2.0_2.0_1h,7
FIBO_nearest_level_55m,7
FIBO_distance_to_nearest_55m,7
HURST_100_55m,7
RSI_14_1h,7
ATRr_14_1h,7
VWAP_D_3h,7
DMN_14_45m,7
AROONU_25_3h,7
EMA_20_3h,7
BBL_20_2.0_2.0_1h,7
MACDh_12_26_9_4h,8
EMA_50_3h,8
ITS_9_3h,8
STOCHk_14_3_3_10m,8
EMA_20_10m,8
FIBO_nearest_level_1h,8
VWAP_D_45m,8
AROONU_25_45m,8
EMA_20_45m,8
EMA_50_45m,8
DMP_14_45m,8
MACDh_12_26_9_45m,8
BBL_20_2.0_2.0_45m,8
BBM_20_2.0_2.0_45m,8
BBU_20_2.0_2.0_45m,8
AROONOSC_25_20m,8
EMA_20_20m,8
ATRr_14_50m,8
ADXR_14_2_20m,8
OBV_20m,8
VWAP_D_20m,8
MACDh_12_26_9_20m,8
BBL_20_2.0_2.0_20m,8
BBM_20_2.0_2.0_20m,8
BBU_20_2.0_2.0_20m,8
FIBO_nearest_level_15m,8
HURST_100_15m,8
RSI_14_20m,8
ATRr_14_20m,8
ADX_14_2h,8
ADXR_14_2_2h,8
DMP_14_2h,8
FIBO_distance_to_nearest_1h,8
HURST_100_1h,8
ATRr_14_2h,8
MACDh_12_26_9_2h,8
BBL_20_2.0_2.0_2h,8
STOCHk_14_3_3_2h,8
STOCHd_14_3_3_2h,8
ICS_26_15m,8
ICHIMOKU_price_vs_cloud_15m,8
EMA_20_55m,8
EMA_50_55m,8
BBL_20_2.0_2.0_14m,8
BBM_20_2.0_2.0_14m,8
BBU_20_2.0_2.0_14m,8
STOCHk_14_3_3_14m,8
ATRr_14_14m,8
EMA_200_55m,8
ITS_9_14m,8
IKS_26_14m,8
DMN_14_14m,8
HURST_100_14m,8
BBU_20_2.0_2.0_15m,8
ICHIMOKU_cloud_color_14m,8
ICHIMOKU_cloud_thickness_14m,8
ICHIMOKU_tk_cross_14m,8
FIBO_nearest_level_14m,8
ICHIMOKU_tk_cross_10m,8
EMA_200_45m,8
ITS_9_45m,8
AROONU_25_4h,9
ITS_9_35m,9
AROONOSC_25_40m,9
EMA_20_40m,9
EMA_50_40m,9
EMA_200_40m,9
ITS_9_40m,9
IKS_26_40m,9
ICS_26_40m,9
ADX_14_35m,9
ADXR_14_2_40m,9
DMN_14_40m,9
OBV_40m,9
VWAP_D_40m,9
BBU_20_2.0_2.0_40m,9
STOCHd_14_3_3_40m,9
EMA_200_35m,9
DMN_14_3h,9
OBV_2h,9
IKS_26_35m,9
DMN_14_35m,9
OBV_35m,9
VWAP_D_35m,9
STOCHd_14_3_3_35m,9
ICHIMOKU_price_vs_cloud_40m,9
ICHIMOKU_cloud_color_40m,9
ICHIMOKU_cloud_thickness_40m,9
ICHIMOKU_tk_cross_40m,9
ICHIMOKU_dist_price_kijun_40m,9
FIBO_nearest_level_40m,9
IKS_26_2h,9
ICS_26_2h,9
ICHIMOKU_price_vs_cloud_2h,9
ICHIMOKU_cloud_color_2h,9
ICHIMOKU_cloud_thickness_2h,9
ICHIMOKU_tk_cross_2h,9
DMN_14_2h,9
VWAP_D_2h,9
AROOND_25_2h,9
EMA_20_2h,9
EMA_50_2h,9
ADX_14_3h,9
ADXR_14_2_3h,9
DMP_14_3h,9
ICHIMOKU_cloud_color_3h,9
BBL_20_2.0_2.0_3h,9
BBM_20_2.0_2.0_3h,9
BBU_20_2.0_2.0_3h,9
FIBO_nearest_level_2h,9
FIBO_distance_to_nearest_2h,9
HURST_100_2h,9
ATRr_14_3h,9
EMA_200_2h,9
ITS_9_2h,9
FIBO_distance_to_nearest_40m,9
HURST_100_40m,9
RSI_14_45m,9
BBB_20_2.0_2.0_2h,9
STOCHd_14_3_3_3h,9
ICHIMOKU_dist_price_kijun_2h,9
ADX_14_40m,9
ADX_14_4h,10
EMA_200_10m,10
ITS_9_10m,10
IKS_26_10m,10
ICS_26_10m,10
ICHIMOKU_cloud_color_10m,10
ICHIMOKU_tk_cross_4h,10
OBV_4h,10
VWAP_D_4h,10
BBB_20_2.0_2.0_4h,10
EMA_200_5m,10
ICS_26_5m,10
WAVELET_NRG_2_8,10
ATRr_14_4h,10
EMA_50_5m,10
ICHIMOKU_cloud_thickness_10m,10
FIBO_nearest_level_3h,10
FIBO_distance_to_nearest_3h,10
HURST_100_3h,10
RSI_14_4h,10
IKS_26_5m,10
DMN_14_50m,10
OBV_50m,10
STOCHd_14_3_3_50m,10
BBM_20_2.0_2.0_4h,10
BBU_20_2.0_2.0_4h,10
FIBO_relative_position_3h,10
WAVELET_NRG_65_128,10
STOCHk_14_3_3_5m_ortho_vs_RSI_14_5m,10
EMA_20_5m,10
EMA_50_50m,10
EMA_200_50m,10
ITS_9_50m,10
ADXR_14_2_50m,10
DMP_14_50m,10
ICHIMOKU_price_vs_cloud_14m,10
DMN_14_1h,10
RSI_14_14m,10
FIBO_nearest_level_10m,10
ADXR_14_2_14m,10
EMA_200_3h,10
BBL_20_2.0_2.0_4h,10
FIBO_distance_to_nearest_10m,10
HURST_100_10m,10
WAVELET_NRG_2_8_lag_3,10
HURST_100_5m_lag_1,10
HURST_100_5m_lag_2,10
day_sin,10
day_cos,10
OBV_10m,10
VWAP_D_10m,10
AROONOSC_25_10m,10
EMA_50_10m,10
ADXR_14_2_10m,10
STOCHk_14_3_3_4h,10
STOCHd_14_3_3_4h,10
HURST_100_5m,10
MACDh_12_26_9_10m,10
BBL_20_2.0_2.0_10m,10
BBM_20_2.0_2.0_10m,10
BBU_20_2.0_2.0_10m,10
MACDh_12_26_9_5m_lag_3,11
MARKET_REGIME_VOL_OF_VOL,11
MARKET_REGIME_TREND,11
ADXR_14_2_4h,11
HURST_100_5m_lag_3,11
VWAP_D_14m,11
ICHIMOKU_price_vs_cloud_50m,11
ICHIMOKU_cloud_color_50m,11
ICHIMOKU_cloud_thickness_50m,11
ICHIMOKU_tk_cross_50m,11
FIBO_relative_position_50m,11
FIBO_nearest_level_50m,11
HURST_100_45m,11
IKS_26_50m,11
ICS_26_50m,11
BBM_20_2.0_2.0_55m,11
BBU_20_2.0_2.0_55m,11
ICHIMOKU_cloud_color_5m,11
ICHIMOKU_cloud_thickness_5m,11
VWAP_D_55m,11
AROONOSC_25_55m,11
FIBO_relative_position_45m,11
FIBO_nearest_level_45m,11
FIBO_distance_to_nearest_45m,11
WAVELET_NRG_2_8_lag_2,11
STOCHh_14_3_3_5m,11
OBV_5m,11
VWAP_D_5m,11
BBL_20_2.0_2.0_5m,11
WAVELET_NRG_2_8_lag_1,11
ITS_9_5m,11
ICHIMOKU_cloud_thickness_45m,11
ICHIMOKU_tk_cross_45m,11
ICHIMOKU_dist_price_kijun_4h,11
FIBO_relative_position_4h,11
FIBO_nearest_level_4h,11
FIBO_distance_to_nearest_4h,11
HURST_100_4h,11
BBM_20_2.0_2.0_5m,11
BBU_20_2.0_2.0_5m,11
EMA_200_4h,11
ITS_9_4h,11
IKS_26_4h,11
ICS_26_4h,11
ICHIMOKU_price_vs_cloud_4h,11
DMP_14_55m,11
FIBO_distance_to_nearest_50m,11
HURST_100_50m,11
ATRr_14_55m,11
MACDh_12_26_9_55m,11
BBL_20_2.0_2.0_55m,11
DMN_14_55m,11
OBV_55m,11
ICHIMOKU_cloud_color_4h,11
DMN_14_4h,11
EMA_20_4h,11
EMA_50_4h,11
DMP_14_4h,11
STOCHd_14_3_3_55m,11
ADXR_14_2_55m,11
INTERACTION_ICHIMOKU_ADX,11
